ID,Income
3434,360000
3315,110100
3266,20000
7656,136610
7373,72267
8509,41262
7417,158100
9151,400000
6272,25
6159,16000
8500,61932
8583,58020
5113,18288
5493,95284
7003,0
8006,36000
7679,15642
8652,176200
6547,36000
8220,10000
5728,75000
9064,54000
7327,110300
5662,97276
9206,90000
5534,189100
8268,130000
6826,219002
7415,91592
8834,635200
5448,76000
9128,7980
7715,60006
7601,38300
5388,20236
5816,117529
4591,92218
4603,73400
6273,70000
6904,356378
4835,95100
664,193600
653,21816
857,34000
4825,21900
4577,86750
4583,308080
6191,48736
4786,46000
9138,80050
4518,48000
8619,141000
8262,28800
5385,68400
7320,98200
9447,29000
9270,104300
8858,40000
8375,98100
811,53535
926,51880
733,27000
1096,45500
923,18261
1113,21188
21,30500
515,41500
8303,118200
5660,76000
8631,188000
6643,71300
4641,108568
5897,165006
7060,174000
759,60080
9289,82200
8564,240000
5087,51338
9410,92452
1750,185000
1402,54400
2360,80800
2575,63000
2421,22600
1895,109819
2880,127200
2592,114000
285,42150
8157,84500
4923,116000
4698,410300
6007,83300
9519,110046
6780,62520
3965,91300
4060,92400
3934,250000
4435,413010
5128,62930
5902,156500
6195,43000
7504,70224
5341,608100
5940,27240
8610,87003
7555,39153
9525,122238
8907,28219
8655,56019
5535,94600
8237,167136
9378,1506000
8266,471300
2904,39248
2988,282532
3180,245010
3192,79250
3431,127140
7490,143714
6184,48100
5412,105100
812,68600
836,73120
853,53700
45,71000
4857,84000
4867,50801
4936,40770
5847,29000
6592,9552
4991,52050
5056,49000
9119,23158
4836,52456
5043,132700
4736,70000
4667,106560
4764,100000
9232,18045
3635,115150
3794,104000
3663,61380
3818,25000
2936,79900
3394,20803
3259,198150
2979,78100
3216,74000
2929,143100
7045,25000
8650,98700
5786,9960
8545,110004
9252,51000
4718,61010
706,52450
599,26454
262,8000
919,85006
4557,64653
8368,180000
9544,25800
7332,150725
6745,42400
5533,15960
5311,134900
5520,127504
9457,1701238
1924,197000
2493,100000
2512,300200
1584,76350
5431,46000
7339,205200
7383,167000
9608,434230
960,44700
7211,698512
7883,64012
5383,83000
9427,292000
7537,232000
5223,166100
9298,38000
7014,80830
6006,17480
5214,70510
5822,68640
7987,28200
4807,70619
6323,114520
12,31063
1805,10898
2844,90700
2120,25408
1622,19700
2092,33650
2234,30100
1780,5000
2184,1300
1947,27300
4588,94636
7725,27030
9342,67020
260,15600
155,45932
491,100500
247,91010
122,537700
284,157005
916,1000
609,14300
3,33800
416,25600
877,9540
7977,148040
9286,89480
8426,39000
7841,16300
5595,35000
6651,57800
9498,60000
6539,135080
7643,50719
158,90194
1354,119600
1175,175584
182,419500
35,60816
755,120100
502,120440
8390,62842
9302,138600
218,180006
157,53950
133,32000
451,14800
162,35300
85,41800
905,14374
2829,120300
2343,130900
1524,72000
577,173000
735,33003
330,25800
294,52517
468,157700
461,122000
989,94006
680,84000
3672,35024
3556,34300
3564,44100
3717,43982
3614,106000
3608,26000
3568,20000
3579,76422
3822,128200
6800,75938
8174,120100
8273,126000
8753,32050
8558,169020
9335,77000
8351,98100
63,35753
28,258250
1309,95000
6600,62200
3126,118530
3089,44000
3344,50500
3176,132010
3056,107000
1,8130
5655,111100
6661,150000
9022,27500
7877,123000
6697,68000
5169,37233
7720,84093
7764,111650
8806,170100
7533,144000
9041,142242
4914,108000
8364,106000
8827,26000
9460,30920
8820,180010
2510,93967
2664,66060
2316,136500
1508,205000
2807,14800
9429,33834
7435,3400
7379,48688
8401,50600
6935,39130
2987,94540
3364,95402
9345,45000
5089,215500
6051,21000
4587,57600
7212,302120
4563,76850
7860,40301
7296,50144
9030,101500
8901,5300
7700,52504
8249,36000
3476,59095
3578,151922
3833,221396
5706,29080
127,145800
956,185300
994,65800
62,7544
5961,346100
9082,291000
2586,190200
1461,54861
2254,870
1940,76050
1480,127736
1507,374800
1503,208676
1581,198600
6644,54117
2840,20400
2663,72576
2884,139256
2424,92000
548,13800
1223,32568
334,38000
293,42000
831,15175
636,101000
54,43130
78,34
5863,142900
5630,207600
5482,59300
7368,33770
5682,64000
5806,156100
4102,86102
4141,40000
4261,292050
4291,358000
4439,32400
1342,30000
38,52708
665,54300
485,102610
443,38200
337,23708
3086,9960
3256,86443
3046,0
3275,61800
3197,35000
3167,13152
3289,150100
3278,60000
2948,48460
3383,32136
2930,76480
3185,126830
3255,42000
3282,216424
3063,33180
3444,53723
3971,150030
3917,58000
4139,45200
2873,11000
1384,68100
1368,9720
1378,12440
3942,93250
3972,26500
4491,45000
4362,81595
3267,416500
3174,380000
2947,51900
3193,12000
3055,555670
3116,165000
849,33300
1352,106050
14,75250
151,8250
840,96000
2305,78050
103,26380
1067,85050
128,118000
4575,74700
5775,61600
4886,144000
6111,44340
4540,65000
4630,60120
6073,130000
7648,92680
5793,111900
5296,63020
9124,78020
8797,66900
377,50500
393,430370
297,344000
686,119100
582,40000
217,140000
4783,125400
8626,320002
4752,85600
4812,91230
8683,545038
5070,37512
5945,56250
5976,11391
4931,59242
5963,48000
4166,12500
4476,281000
1522,133704
1573,87904
1531,82750
2832,59085
2833,80050
1655,40627
2203,75000
2458,40218
2004,138100
2631,757700
1606,259025
6448,17532
6055,27000
7398,131980
9283,82521
7473,72000
6538,86900
9288,18000
8365,6600
5273,65520
4850,67348
6268,31100
5321,41600
1064,13000
113,134640
4018,38200
3979,73000
4422,44400
1810,105000
2265,182500
1415,175000
1494,289300
7242,89000
6853,65050
8410,130002
7219,85050
6671,70560
7603,195000
8206,245100
6926,353506
7082,110000
7388,261720
8653,212150
1500,30850
2330,25750
1961,94650
1438,43000
4903,159898
4712,53940
4795,35000
9567,36600
6622,25200
5117,24000
4817,21864
6156,17892
6411,48440
4870,198900
8893,78144
6217,74000
7528,250000
8499,54000
5921,33897
7277,231480
5973,124000
5784,195949
9328,341010
7208,130010
6854,230100
968,59000
1045,57200
900,95000
212,98000
906,198518
494,323510
1050,30680
1182,14300
2903,69120
2932,26913
3269,77430
3244,19377
3334,136220
3021,68424
4640,6000
8667,40000
8062,24000
8506,0
5426,108000
8478,10000
5237,253900
5703,66100
7390,41764
9441,115000
5191,64080
6107,18000
5679,150600
7486,100000
6705,137000
6787,38200
1269,50550
883,64500
433,33900
4705,23050
6112,128400
5444,50900
437,276500
98,34000
16,45002
292,97000
7129,70050
9187,39000
9517,161012
7671,50001
9584,34700
6409,16000
4907,41010
4945,40050
3298,48500
2958,49100
3280,35620
3400,117006
3081,10246
4463,64894
3902,12050
4336,147900
4374,149898
4105,69500
4340,66539
962,163800
109,47926
6914,160000
8071,337500
8243,9900
9111,55100
2560,268500
2002,63000
1864,14000
1856,85000
1796,200
2066,120000
2191,49050
2240,107100
2777,85000
5334,112364
4693,59454
8295,82100
4703,28050
8940,90160
7875,150000
7127,33400
7625,91200
5797,65150
7157,75250
5011,142230
9107,179000
7731,48000
5990,161000
269,54480
97,44332
3047,50000
3001,54832
3161,35000
3097,34000
3314,108230
5415,33216
5688,201184
92,60000
881,93200
1424,26400
1434,59050
1718,102000
1419,125000
2842,23000
2761,38380
1431,27847
1927,12848
3532,76399
3531,27869
3765,13724
3803,1600
3768,26656
3793,109908
4930,20400
9204,26188
5983,12050
6760,91400
5375,25060
6700,125276
8867,228500
5989,84533
7275,118778
9164,110100
9025,245100
9524,133050
8504,124020
4622,297700
950,38116
1251,26000
7371,77800
6617,26000
5527,121002
9093,20800
4745,128506
6176,113020
3593,34200
6876,36340
5168,11568
7163,93200
9167,175742
5796,106600
4727,18401
6389,6818
8555,23100
3601,237960
3505,127417
2597,278000
5292,49336
7511,134600
8674,53200
7044,70000
7849,110000
4879,39052
8649,133000
8398,26020
7234,90000
5557,100000
6527,41700
4785,9600
4905,60000
8005,30010
6922,60000
8695,51892
8559,102800
6975,94556
5893,99792
9044,65516
8356,95613
7947,61580
8958,110831
4065,13927
4482,175012
4110,133006
3953,134002
543,43600
736,202100
996,91100
203,53600
66,191100
7649,70300
4970,31339
8813,84500
9502,9000
6029,132100
9046,64100
7330,31500
7634,96200
4717,114000
5741,95200
941,69008
1288,135000
3156,37000
3036,181000
2992,41930
3385,107922
3329,132932
1373,72980
2470,52800
976,41556
2418,241272
2770,131422
1396,32241
1834,5000
1820,164782
2555,77500
4513,17628
7061,45620
8431,69800
5288,67000
7638,58800
5716,44360
5625,47661
6834,2
5830,71600
8058,15000
8225,79520
4567,59350
7850,71000
890,25490
1014,21450
3730,151006
3521,75220
3809,202050
815,47688
529,199596
1156,9000
615,272000
5407,59896
7611,51085
3388,30238
3308,272200
772,76272
710,158200
483,74740
552,230100
1061,289100
1149,72402
602,45000
3962,8700
4015,223526
3918,134800
3936,136020
3886,35600
3993,84500
4457,72200
4472,46000
4090,147000
4022,87000
3988,11060
4222,61186
4038,45653
4234,37750
4047,18050
4180,276150
4033,19804
4107,56712
3983,81000
716,76548
331,69680
978,126500
684,124446
5424,80000
6665,87650
4721,41216
4643,0
8693,124340
9570,290440
5105,98000
8832,119000
8804,194406
8290,102255
5858,41900
5430,129010
5369,85820
9508,104030
229,10596
909,41833
261,63000
310,25000
53,17005
8788,12500
8686,73659
6331,77666
8275,64802
6025,167700
7232,286376
7401,21170
5539,50210
5172,59406
8466,89120
4995,20000
9547,41816
160,11854
2014,72019
1476,174712
1842,24650
2874,100000
1408,25120
1952,8001
1465,142326
1714,200000
2472,198500
1766,73100
1798,72800
2605,152002
500,165100
700,80200
990,209100
1381,37967
2763,134412
1473,137200
1399,95630
1954,91100
448,0
981,117750
9419,170112
829,68700
394,79808
3582,34296
3543,56400
3705,68150
3742,0
3722,78800
3473,34500
3481,113576
3540,4000
717,160938
1005,64500
1320,121540
343,107100
230,61530
1180,35700
288,143048
90,31730
452,16000
3319,35945
114,99200
838,129000
509,47000
913,150750
447,122100
4386,131716
3885,123200
3900,73265
4132,45450
3186,109040
3413,33000
2939,45250
3291,73150
3310,219000
2926,206500
3233,288100
5522,7200
5582,61200
6970,28000
6357,104226
4490,73176
4023,158800
2912,15602
3384,62600
3864,21000
1990,27674
1582,42252
1876,120050
2803,118000
8733,33278
5095,75500
5253,40592
8767,111344
8766,121000
7676,28000
8474,60184
9089,16777
5914,74880
5219,195200
7821,265266
2040,78000
2448,58400
1699,16000
4809,9960
6375,200051
8222,55000
5664,202900
9346,148000
532,65658
760,27304
1106,38020
1052,138450
1118,96520
4733,9252
4794,40452
4728,13000
